,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
0,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",8027.0,1400.0 kHz,None,Three satellites,FCC,None
1,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",2036.0,1400.0 kHz,None,Three satellites,FCC,None
2,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",1542.0,34000.0 kHz,None,Three satellites,FCC,None
3,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",1643.25,33500.0 kHz,None,Three satellites,FCC,None
4,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",9600.0,600000.0 kHz,None,Three satellites,FCC,None
5,None," CAPELLA-2, CAPELLA-3, and CAPELLA-4",8212.5,337500.0 kHz,None,Three satellites,FCC,None
6,None, ECHOSTAR 19,29625.0,750000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
7,None, ECHOSTAR 19,28475.0,1250000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
8,None, ECHOSTAR 19,19950.0,500000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
9,None, ECHOSTAR 19,18800.0,1000000.0 kHz,None,Formerly JUPITER 2 and JUPITER 97W,FCC,None
10,None,-----  (Phase-3A),145.89999999999998,62.0 kHz,Failure,SSB CW,AmSAT,None
11,None,-----  (Phase-3A),145.81,None,Failure,"Beacon, SSB CW",AmSAT,None
12,57313,1998-067VR,None,None,Active,None,CelesTrak,LEO
13,44859,1HOPSAT-TD,None,None,None,None,UCS,LEO
14,43466,1KUNS-PF,437.3,None,Re-entered,1k2/2k4/4k8/9k6 GMSK,AmSAT,None
15,40899,2015-049A,None,None,Active,None,CelesTrak,LEO
16,51824,2022-019A,None,None,Active,None,CelesTrak,LEO
17,51825,2022-019B,None,None,Active,None,CelesTrak,LEO
18,51827,2022-019D,None,None,Active,None,CelesTrak,LEO
19,51828,2022-019E,None,None,Active,None,CelesTrak,LEO
20,51829,2022-019F,None,None,Active,None,CelesTrak,LEO
21,51830,2022-019G,None,None,Active,None,CelesTrak,LEO
22,51832,2022-019J,None,None,Active,None,CelesTrak,LEO
23,51833,2022-019K,None,None,Active,None,CelesTrak,LEO
24,51836,2022-019N,None,None,Active,None,CelesTrak,LEO
25,51837,2022-019P,None,None,Active,None,CelesTrak,LEO
26,51842,2022-019U,None,None,Active,None,CelesTrak,LEO
27,51843,2022-019V,None,None,Active,None,CelesTrak,LEO
28,51845,2022-019X,None,None,Active,None,CelesTrak,LEO
29,51946,2022-023A,None,None,Active,None,CelesTrak,LEO
30,51947,2022-023B,None,None,Active,None,CelesTrak,LEO
31,51948,2022-023C,None,None,Active,None,CelesTrak,LEO
32,51949,2022-023D,None,None,Active,None,CelesTrak,LEO
33,51950,2022-023E,None,None,Active,None,CelesTrak,MEO
34,51951,2022-023F,None,None,Active,None,CelesTrak,LEO
35,51952,2022-023G,None,None,Active,None,CelesTrak,LEO
36,52716,2022-056A,None,None,Active,None,CelesTrak,MEO
37,52717,2022-056B,None,None,Active,None,CelesTrak,MEO
38,52718,2022-056C,None,None,Active,None,CelesTrak,MEO
39,53299,2022-087A,None,None,Active,None,CelesTrak,LEO
40,53301,2022-087C,None,None,Active,None,CelesTrak,LEO
41,53302,2022-087D,None,None,Active,None,CelesTrak,LEO
42,53303,2022-087E,None,None,Active,None,CelesTrak,LEO
43,53367,2022-095A,None,None,Active,None,CelesTrak,LEO
44,53368,2022-095B,None,None,Active,None,CelesTrak,LEO
45,53369,2022-095C,None,None,Active,None,CelesTrak,LEO
46,53371,2022-096B,None,None,Active,None,CelesTrak,LEO
47,53372,2022-096C,None,None,Active,None,CelesTrak,LEO
48,53379,2022-096K,None,None,Active,None,CelesTrak,LEO
49,53380,2022-096L,None,None,Active,None,CelesTrak,LEO
50,53446,2022-098C,None,None,Active,None,CelesTrak,LEO
51,53950,2022-121C,None,None,Active,None,CelesTrak,LEO
52,54362,2022-158B,None,None,Active,None,CelesTrak,LEO
53,54682,2022-167A,None,None,Active,None,CelesTrak,LEO
54,54687,2022-167F,None,None,Active,None,CelesTrak,LEO
55,54688,2022-167G,None,None,Active,None,CelesTrak,LEO
56,54693,2022-167M,None,None,Active,None,CelesTrak,LEO
57,55133,2023-003A,None,None,Active,None,CelesTrak,LEO
58,55134,2023-003B,None,None,Active,None,CelesTrak,LEO
59,55135,2023-003C,None,None,Active,None,CelesTrak,LEO
60,55136,2023-003D,None,None,Active,None,CelesTrak,LEO
61,55137,2023-003E,None,None,Active,None,CelesTrak,LEO
62,55248,2023-007A,None,None,Active,None,CelesTrak,LEO
63,55249,2023-007B,None,None,Active,None,CelesTrak,LEO
64,55250,2023-007C,None,None,Active,None,CelesTrak,LEO
65,55251,2023-007D,None,None,Active,None,CelesTrak,LEO
66,55252,2023-007E,None,None,Active,None,CelesTrak,LEO
67,55253,2023-007F,None,None,Active,None,CelesTrak,LEO
68,55254,2023-007G,None,None,Active,None,CelesTrak,LEO
69,55256,2023-007J,None,None,Active,None,CelesTrak,LEO
70,55257,2023-007K,None,None,Active,None,CelesTrak,LEO
71,55258,2023-007L,None,None,Active,None,CelesTrak,LEO
72,55259,2023-007M,None,None,Active,None,CelesTrak,LEO
73,55260,2023-007N,None,None,Active,None,CelesTrak,LEO
74,55261,2023-007P,None,None,Active,None,CelesTrak,LEO
75,55908,2023-035A,None,None,Active,None,CelesTrak,MEO
76,56153,2023-047A,None,None,Active,None,CelesTrak,LEO
77,56154,2023-047B,None,None,Active,None,CelesTrak,LEO
78,56155,2023-047C,None,None,Active,None,CelesTrak,LEO
79,56156,2023-047D,None,None,Active,None,CelesTrak,LEO
80,56157,2023-048A,None,None,Active,None,CelesTrak,MEO
81,56159,2023-049A,None,None,Active,None,CelesTrak,LEO
82,56731,2023-069A,None,None,Active,None,CelesTrak,LEO
83,56732,2023-069B,None,None,Active,None,CelesTrak,LEO
84,56733,2023-069C,None,None,Active,None,CelesTrak,LEO
85,56746,2023-072D,None,None,Active,None,CelesTrak,LEO
86,56747,2023-072E,None,None,Active,None,CelesTrak,LEO
87,56748,2023-072F,None,None,Active,None,CelesTrak,LEO
88,56749,2023-072G,None,None,Active,None,CelesTrak,LEO
89,56846,2023-081A,None,None,Active,None,CelesTrak,LEO
90,56870,2023-081AA,None,None,Active,None,CelesTrak,LEO
91,56871,2023-081AB,None,None,Active,None,CelesTrak,LEO
92,56872,2023-081AC,None,None,Active,None,CelesTrak,LEO
93,56847,2023-081B,None,None,Active,None,CelesTrak,LEO
94,56848,2023-081C,None,None,Active,None,CelesTrak,LEO
95,56849,2023-081D,None,None,Active,None,CelesTrak,LEO
96,56850,2023-081E,None,None,Active,None,CelesTrak,LEO
97,56851,2023-081F,None,None,Active,None,CelesTrak,LEO
98,56852,2023-081G,None,None,Active,None,CelesTrak,LEO
99,56853,2023-081H,None,None,Active,None,CelesTrak,LEO
100,56854,2023-081J,None,None,Active,None,CelesTrak,LEO
101,56855,2023-081K,None,None,Active,None,CelesTrak,LEO
102,56856,2023-081L,None,None,Active,None,CelesTrak,LEO
103,56857,2023-081M,None,None,Active,None,CelesTrak,LEO
104,56858,2023-081N,None,None,Active,None,CelesTrak,LEO
105,56859,2023-081P,None,None,Active,None,CelesTrak,LEO
106,56860,2023-081Q,None,None,Active,None,CelesTrak,LEO
107,56861,2023-081R,None,None,Active,None,CelesTrak,LEO
